domain,Q_star,t_first_order,Q_status
arxiv,0.7323392322933862,-0.11019229445025987,observed
freelaw,0.5425290965983053,-0.17512206332205096,median_imputed_no_document_quality
nih_exporter,0.5425290965983053,-0.6319584035984634,median_imputed_no_document_quality
pubmed_central,0.5425290965983053,-0.1698261940813162,median_imputed_no_document_quality
wikipedia_en,0.5425290965983053,0.12386181813326907,median_imputed_no_document_quality
dm_mathematics,0.5425290965983053,0.23555468907791433,median_imputed_no_document_quality
github,0.4057484555154096,0.18959527764796513,observed
philpapers,0.5425290965983053,-0.37999245840948503,median_imputed_no_document_quality
stackexchange,0.5425290965983053,-0.2494665103716465,observed
enron_emails,0.5425290965983053,-0.9850072711552802,median_imputed_no_document_quality
gutenberg_pg_19,0.5425290965983053,0.07412701344481921,median_imputed_no_document_quality
pile_cc,0.5425290965983053,0.8947868689128124,median_imputed_no_document_quality
ubuntu_irc,0.5425290965983053,-0.32578330203365186,median_imputed_no_document_quality
europarl,0.5425290965983053,1.2520619823164185,median_imputed_no_document_quality
hackernews,0.5425290965983053,-0.43634333305081235,median_imputed_no_document_quality
pubmed_abstracts,0.5425290965983053,0.29399495963986844,median_imputed_no_document_quality
uspto_backgrounds,0.5425290965983053,0.39970922129989905,median_imputed_no_document_quality
