domain,p0,Q_star,t_first_order
arxiv,0.11302252583217468,0.646776858100917,-0.11019229445025987
freelaw,0.09682483215160405,0.4524484218959825,-0.17512206332205096
nih_exporter,0.005889680217640528,0.4524484218959825,-0.6319584035984634
pubmed_central,0.11375419104995738,0.4524484218959825,-0.1698261940813162
wikipedia_en,0.07507775607969777,0.4524484218959825,0.12386181813326907
dm_mathematics,0.02546285409735114,0.4524484218959825,0.23555468907791433
github,0.11070066006999096,0.31878272654800766,0.18959527764796513
philpapers,0.005487697351757549,0.4524484218959825,-0.37999245840948503
stackexchange,0.09943242344369017,0.4524484218959825,-0.2494665103716465
enron_emails,0.0022110330440804327,0.4524484218959825,-0.9850072711552802
gutenberg_pg_19,0.04691494424769629,0.4524484218959825,0.07412701344481921
pile_cc,0.11948759779117796,0.4524484218959825,0.8947868689128124
ubuntu_irc,0.019599998284382344,0.4524484218959825,-0.32578330203365186
europarl,0.012737064754468426,0.4524484218959825,1.2520619823164185
hackernews,0.01165082237856243,0.4524484218959825,-0.43634333305081235
pubmed_abstracts,0.06618116611255062,0.4524484218959825,0.29399495963986844
uspto_backgrounds,0.07556475309321728,0.4524484218959825,0.39970922129989905
