budget_1e21,budget_flops,context_tokens,cost_function,domain,share,coefficient_source,boundary_scheme,p0,share_multiple,selected,selected_context
0.01,1e+19,4096,exponential,arxiv,0.15070570449183202,b6_b8_lambda10,legacy,0.11302252583217468,1.3334129934028591,True,True
0.01,1e+19,4096,exponential,freelaw,0.14191295155777411,b6_b8_lambda10,legacy,0.09682483215160405,1.4656668997429614,True,True
0.01,1e+19,4096,exponential,nih_exporter,0.02978132508688979,b6_b8_lambda10,legacy,0.005889680217640528,5.056526668067646,True,True
0.01,1e+19,4096,exponential,pubmed_central,0.16415045411660648,b6_b8_lambda10,legacy,0.11375419104995738,1.443027747826158,True,True
0.01,1e+19,4096,exponential,wikipedia_en,0.049452322336825595,b6_b8_lambda10,legacy,0.07507775607969777,0.6586814113667723,True,True
0.01,1e+19,4096,exponential,dm_mathematics,0.012138809225657046,b6_b8_lambda10,legacy,0.02546285409735114,0.4767261823536045,True,True
0.01,1e+19,4096,exponential,github,0.05812890666403292,b6_b8_lambda10,legacy,0.11070066006999096,0.5250999102198729,True,True
0.01,1e+19,4096,exponential,philpapers,0.014571862380009584,b6_b8_lambda10,legacy,0.005487697351757549,2.6553691732549067,True,True
0.01,1e+19,4096,exponential,stackexchange,0.17748930051964731,b6_b8_lambda10,legacy,0.09943242344369017,1.7850243851308898,True,True
0.01,1e+19,4096,exponential,enron_emails,0.027885391978744192,b6_b8_lambda10,legacy,0.0022110330440804327,12.611929095045122,True,True
0.01,1e+19,4096,exponential,gutenberg_pg_19,0.0348590738008267,b6_b8_lambda10,legacy,0.04691494424769629,0.7430270750569723,True,True
0.01,1e+19,4096,exponential,pile_cc,0.010723746779883879,b6_b8_lambda10,legacy,0.11948759779117796,0.08974778117663051,True,True
0.01,1e+19,4096,exponential,ubuntu_irc,0.04250050493551301,b6_b8_lambda10,legacy,0.019599998284382344,2.1683932987574916,True,True
0.01,1e+19,4096,exponential,europarl,0.0014125256017934653,b6_b8_lambda10,legacy,0.012737064754468426,0.11089883179701368,True,True
0.01,1e+19,4096,exponential,hackernews,0.033788185985183856,b6_b8_lambda10,legacy,0.01165082237856243,2.9000687580092444,True,True
0.01,1e+19,4096,exponential,pubmed_abstracts,0.024739378177681008,b6_b8_lambda10,legacy,0.06618116611255062,0.37381296871693265,True,True
0.01,1e+19,4096,exponential,uspto_backgrounds,0.02575955636109892,b6_b8_lambda10,legacy,0.07556475309321728,0.3408938070547485,True,True
0.1,1e+20,8192,exponential,arxiv,0.14231256972234518,b6_b8_lambda10,legacy,0.11302252583217468,1.2591522678732452,True,True
0.1,1e+20,8192,exponential,freelaw,0.14381693726020092,b6_b8_lambda10,legacy,0.09682483215160405,1.4853311290539468,True,True
0.1,1e+20,8192,exponential,nih_exporter,0.028609882640128228,b6_b8_lambda10,legacy,0.005889680217640528,4.857629206155723,True,True
0.1,1e+20,8192,exponential,pubmed_central,0.16666226359309888,b6_b8_lambda10,legacy,0.11375419104995738,1.4651087758156172,True,True
0.1,1e+20,8192,exponential,wikipedia_en,0.051180915225427004,b6_b8_lambda10,legacy,0.07507775607969777,0.681705446432051,True,True
0.1,1e+20,8192,exponential,dm_mathematics,0.012379012915580068,b6_b8_lambda10,legacy,0.02546285409735114,0.4861596766902826,True,True
0.1,1e+20,8192,exponential,github,0.061596884173546626,b6_b8_lambda10,legacy,0.11070066006999096,0.5564274335365457,True,True
0.1,1e+20,8192,exponential,philpapers,0.013330939754400188,b6_b8_lambda10,legacy,0.005487697351757549,2.4292410641287785,True,True
0.1,1e+20,8192,exponential,stackexchange,0.18006488415696434,b6_b8_lambda10,legacy,0.09943242344369017,1.8109272400359158,True,True
0.1,1e+20,8192,exponential,enron_emails,0.02923524441284478,b6_b8_lambda10,legacy,0.0022110330440804327,13.222436675524087,True,True
0.1,1e+20,8192,exponential,gutenberg_pg_19,0.035744237608609,b6_b8_lambda10,legacy,0.04691494424769629,0.761894491867891,True,True
0.1,1e+20,8192,exponential,pile_cc,0.0010949238048303174,b6_b8_lambda10,legacy,0.11948759779117796,0.009163493325423253,True,True
0.1,1e+20,8192,exponential,ubuntu_irc,0.0433656850361798,b6_b8_lambda10,legacy,0.019599998284382344,2.212535144492049,True,True
